"Sample","Species","Strain","Batch","mSlope","sdSlope"
"Gv5-1.1B2.A","Gardnerella swidsinskii","Gv5-1","1B2","0.5817087679032393","0.07445733182984154"
"Gv5-1.1B2.B","Gardnerella swidsinskii","Gv5-1","1B2","0.5684521765528702","0.09928181596754514"
"JCP7275.1B1.A","Gardnerella sp. 2","JCP7275","1B1","0.5524641912964683","0.06766429315755147"
"JCP7275.1B1.B","Gardnerella sp. 2","JCP7275","1B1","0.5532015350266267","0.08064738394612773"
"JCP7275.1B2.A","Gardnerella sp. 2","JCP7275","1B2","0.5243634457198405","0.11761535927909164"
"JCP7275.1B2.B","Gardnerella sp. 2","JCP7275","1B2","0.6300962274131046","0.055252393837639545"
"JCP8017B.1A1.A","Gardnerella sp. 3","JCP8017B","1A1","0.8700944920794182","0.10610553216475288"
"JCP8017B.1A1.B","Gardnerella sp. 3","JCP8017B","1A1","0.835045331008577","0.03962628318711309"
"JCP8017B.1A2.A","Gardnerella sp. 3","JCP8017B","1A2","0.8085249071120613","0.13670501054194303"
"JCP8017B.1A2.B","Gardnerella sp. 3","JCP8017B","1A2","0.893383282285396","0.06949567774736407"
"JCP8066.1A1.A","Gardnerella piotii","JCP8066","1A1","0.6983600616686265","0.08330879266280852"
"JCP8066.1A1.B","Gardnerella piotii","JCP8066","1A1","0.776263415013713","0.0689052661899026"
"JCP8066.1B2.A","Gardnerella piotii","JCP8066","1B2","0.8854230089020223","0.21049079380974645"
"JCP8066.1B2.B","Gardnerella piotii","JCP8066","1B2","0.8601041195679435","0.008532096359647195"
"JCP8108.1B1.B","Gardnerella sp. 2","JCP8108","1B1","0.5343801023402104","0.23230154016682733"
"JCP8108.1B2.A","Gardnerella sp. 2","JCP8108","1B2","0.6727495907690799","0.18302951688816535"
"JCP8108.1B2.B","Gardnerella sp. 2","JCP8108","1B2","0.6743088448615279","0.052373151136356315"
"UM224.1A1.A","Gardnerella swidsinskii","UM224","1A1","0.7471021751378464","0.14125065049104227"
"UM224.1A2.A","Gardnerella swidsinskii","UM224","1A2","0.7963227455030214","0.16507515279833507"
"UM224.1A2.B","Gardnerella swidsinskii","UM224","1A2","0.7537051625774903","0.09976991287712272"
"UM35.3A1.A","Gardnerella piotii","UM35","3A1","0.7673288577326541","0.16834945123935718"
"UM35.3A1.B","Gardnerella piotii","UM35","3A1","0.674149453961564","0.1378349168152108"
"UM35.3A2.A","Gardnerella piotii","UM35","3A2","0.6210304441707559","0.14405266385747242"
"UM35.3A2.B","Gardnerella piotii","UM35","3A2","0.580555813703745","0.03641553218831374"
